Date1,State,Imported Cases,Local Cases,Total Cases,Date
1-Jun,Johor,0,431,431,1-Jun
1-Jun,Kedah,0,236,236,1-Jun
1-Jun,Kelantan,0,531,531,1-Jun
1-Jun,Melaka,0,249,249,1-Jun
1-Jun,Negeri Sembilan,0,397,397,1-Jun
1-Jun,Pahang,0,190,190,1-Jun
1-Jun,Perak,0,387,387,1-Jun
1-Jun,Perlis,0,0,0,1-Jun
1-Jun,Penang,0,400,400,1-Jun
1-Jun,Sabah,0,318,318,1-Jun
1-Jun,Sarawak,0,703,703,1-Jun
1-Jun,Selangor,2,2068,2070,1-Jun
1-Jun,Terengganu,0,198,198,1-Jun
1-Jun,Federal Territory of Kuala Lumpur,0,817,817,1-Jun
1-Jun,Federal Territory of Labuan,0,162,162,1-Jun
1-Jun,Federal Territory of Putrajaya,0,18,18,1-Jun
2-Jun,Johor,0,554,554,2-Jun
2-Jun,Kedah,0,283,283,2-Jun
2-Jun,Kelantan,0,541,541,2-Jun
2-Jun,Melaka,0,209,209,2-Jun
2-Jun,Negeri Sembilan,0,586,586,2-Jun
2-Jun,Pahang,0,237,237,2-Jun
2-Jun,Perak,0,224,224,2-Jun
2-Jun,Perlis,0,7,7,2-Jun
2-Jun,Penang,0,407,407,2-Jun
2-Jun,Sabah,0,254,254,2-Jun
2-Jun,Sarawak,0,588,588,2-Jun
2-Jun,Selangor,0,2728,2728,2-Jun
2-Jun,Terengganu,0,224,224,2-Jun
2-Jun,Federal Territory of Kuala Lumpur,2,701,703,2-Jun
2-Jun,Federal Territory of Labuan,0,159,159,2-Jun
2-Jun,Federal Territory of Putrajaya,0,1,1,2-Jun
3-Jun,Johor,55,752,807,3-Jun
3-Jun,Kedah,0,373,373,3-Jun
3-Jun,Kelantan,0,414,414,3-Jun
3-Jun,Melaka,0,322,322,3-Jun
3-Jun,Negeri Sembilan,0,576,576,3-Jun
3-Jun,Pahang,0,135,135,3-Jun
3-Jun,Perak,0,384,384,3-Jun
3-Jun,Perlis,0,5,5,3-Jun
3-Jun,Penang,0,303,303,3-Jun
3-Jun,Sabah,1,203,204,3-Jun
3-Jun,Sarawak,0,594,594,3-Jun
3-Jun,Selangor,2,3125,3127,3-Jun
3-Jun,Terengganu,0,127,127,3-Jun
3-Jun,Federal Territory of Kuala Lumpur,6,801,807,3-Jun
3-Jun,Federal Territory of Labuan,0,62,62,3-Jun
3-Jun,Federal Territory of Putrajaya,0,33,33,3-Jun
4-Jun,Johor,1,446,447,4-Jun
4-Jun,Kedah,0,263,263,4-Jun
4-Jun,Kelantan,0,286,286,4-Jun
4-Jun,Melaka,0,234,234,4-Jun
4-Jun,Negeri Sembilan,0,709,709,4-Jun
4-Jun,Pahang,0,146,146,4-Jun
4-Jun,Perak,0,371,371,4-Jun
4-Jun,Perlis,0,8,8,4-Jun
4-Jun,Penang,0,376,376,4-Jun
4-Jun,Sabah,0,287,287,4-Jun
4-Jun,Sarawak,0,706,706,4-Jun
4-Jun,Selangor,0,2612,2612,4-Jun
4-Jun,Terengganu,0,203,203,4-Jun
4-Jun,Federal Territory of Kuala Lumpur,1,851,852,4-Jun
4-Jun,Federal Territory of Labuan,0,230,230,4-Jun
4-Jun,Federal Territory of Putrajaya,0,20,20,4-Jun
5-Jun,Johor,0,412,412,5-Jun
5-Jun,Kedah,0,263,263,5-Jun
5-Jun,Kelantan,0,312,312,5-Jun
5-Jun,Melaka,0,206,206,5-Jun
5-Jun,Negeri Sembilan,0,843,843,5-Jun
5-Jun,Pahang,0,286,286,5-Jun
5-Jun,Perak,1,252,253,5-Jun
5-Jun,Perlis,0,4,4,5-Jun
5-Jun,Penang,0,370,370,5-Jun
5-Jun,Sabah,0,259,259,5-Jun
5-Jun,Sarawak,0,651,651,5-Jun
5-Jun,Selangor,2,2509,2511,5-Jun
5-Jun,Terengganu,0,190,190,5-Jun
5-Jun,Federal Territory of Kuala Lumpur,5,678,683,5-Jun
5-Jun,Federal Territory of Labuan,0,205,205,5-Jun
5-Jun,Federal Territory of Putrajaya,0,12,12,5-Jun
6-Jun,Johor,1,565,566,6-Jun
6-Jun,Kedah,0,125,125,6-Jun
6-Jun,Kelantan,0,270,270,6-Jun
6-Jun,Melaka,0,225,225,6-Jun
6-Jun,Negeri Sembilan,0,556,556,6-Jun
6-Jun,Pahang,0,155,155,6-Jun
6-Jun,Perak,0,174,174,6-Jun
6-Jun,Perlis,0,2,2,6-Jun
6-Jun,Penang,0,271,271,6-Jun
6-Jun,Sabah,0,305,305,6-Jun
6-Jun,Sarawak,1,600,601,6-Jun
6-Jun,Selangor,10,2178,2188,6-Jun
6-Jun,Terengganu,0,158,158,6-Jun
6-Jun,Federal Territory of Kuala Lumpur,1,415,416,6-Jun
6-Jun,Federal Territory of Labuan,1,212,213,6-Jun
6-Jun,Federal Territory of Putrajaya,0,30,30,6-Jun
7-Jun,Johor,0,355,355,7-Jun
7-Jun,Kedah,0,194,194,7-Jun
7-Jun,Kelantan,0,341,341,7-Jun
7-Jun,Melaka,0,178,178,7-Jun
7-Jun,Negeri Sembilan,0,571,571,7-Jun
7-Jun,Pahang,0,99,99,7-Jun
7-Jun,Perak,0,177,177,7-Jun
7-Jun,Perlis,0,1,1,7-Jun
7-Jun,Penang,0,153,153,7-Jun
7-Jun,Sabah,0,336,336,7-Jun
7-Jun,Sarawak,0,703,703,7-Jun
7-Jun,Selangor,0,1374,1374,7-Jun
7-Jun,Terengganu,0,117,117,7-Jun
7-Jun,Federal Territory of Kuala Lumpur,14,455,469,7-Jun
7-Jun,Federal Territory of Labuan,0,209,209,7-Jun
7-Jun,Federal Territory of Putrajaya,0,8,8,7-Jun
8-Jun,Johor,0,456,456,8-Jun
8-Jun,Kedah,0,148,148,8-Jun
8-Jun,Kelantan,0,204,204,8-Jun
8-Jun,Melaka,0,314,314,8-Jun
8-Jun,Negeri Sembilan,0,505,505,8-Jun
8-Jun,Pahang,0,157,157,8-Jun
8-Jun,Perak,0,225,225,8-Jun
8-Jun,Perlis,0,1,1,8-Jun
8-Jun,Penang,0,185,185,8-Jun
8-Jun,Sabah,0,350,350,8-Jun
8-Jun,Sarawak,0,707,707,8-Jun
8-Jun,Selangor,2,1524,1526,8-Jun
8-Jun,Terengganu,0,106,106,8-Jun
8-Jun,Federal Territory of Kuala Lumpur,2,466,468,8-Jun
8-Jun,Federal Territory of Labuan,0,191,191,8-Jun
8-Jun,Federal Territory of Putrajaya,0,27,27,8-Jun
9-Jun,Johor,1,468,469,9-Jun
9-Jun,Kedah,0,135,135,9-Jun
9-Jun,Kelantan,0,340,340,9-Jun
9-Jun,Melaka,0,150,150,9-Jun
9-Jun,Negeri Sembilan,4,507,511,9-Jun
9-Jun,Pahang,0,232,232,9-Jun
9-Jun,Perak,0,175,175,9-Jun
9-Jun,Perlis,0,4,4,9-Jun
9-Jun,Penang,0,194,194,9-Jun
9-Jun,Sabah,0,232,232,9-Jun
9-Jun,Sarawak,0,419,419,9-Jun
9-Jun,Selangor,3,2291,2294,9-Jun
9-Jun,Terengganu,0,171,171,9-Jun
9-Jun,Federal Territory of Kuala Lumpur,3,704,707,9-Jun
9-Jun,Federal Territory of Labuan,0,200,200,9-Jun
9-Jun,Federal Territory of Putrajaya,0,17,17,9-Jun
10-Jun,Johor,1,524,525,10-Jun
10-Jun,Kedah,0,309,309,10-Jun
10-Jun,Kelantan,0,262,262,10-Jun
10-Jun,Melaka,0,184,184,10-Jun
10-Jun,Negeri Sembilan,0,593,593,10-Jun
10-Jun,Pahang,0,112,112,10-Jun
10-Jun,Perak,0,143,143,10-Jun
10-Jun,Perlis,0,3,3,10-Jun
10-Jun,Penang,0,166,166,10-Jun
10-Jun,Sabah,0,233,233,10-Jun
10-Jun,Sarawak,0,631,631,10-Jun
10-Jun,Selangor,4,1510,1514,10-Jun
10-Jun,Terengganu,0,108,108,10-Jun
10-Jun,Federal Territory of Kuala Lumpur,3,769,772,10-Jun
